Date,Amount,Currency,Description,Category,Sub Category,Paid By
31/01/2023,200.00,GBP,India A/C,Saving,Saving,
31/01/2023,100.00,GBP,Parents,Allowance,Allowance_Parent,
31/01/2023,7.50,GBP,SPAR,Food & Drinks,Grocery,
01/02/2023,154.00,GBP,Reading council,Housing,Council Tax,
01/02/2023,38.00,GBP,Thames Water,Utility,Water,
02/02/2023,5.00,GBP,SPAR,Food & Drinks,Grocery,
03/02/2023,1.50,GBP,office,Food & Drinks,Grocery,
03/02/2023,8.50,GBP,Tariq Meat,Food & Drinks,Grocery,
03/02/2023,11.00,GBP,chaipani,Food & Drinks,Eating out,
03/02/2023,38.00,GBP,Exotic,Food & Drinks,Grocery,
04/02/2023,4.30,GBP,Bus,Transportation,Transport_Local,
04/02/2023,6.58,GBP,Range,Personal care,Shopping,
04/02/2023,28.00,GBP,Pappadam,Food & Drinks,Eating out,
04/02/2023,4.50,GBP,onebelow,Personal care,Shopping,
04/02/2023,13.75,GBP,wilko,Housing,Household Product,
04/02/2023,3.00,GBP,SPAR,Food & Drinks,Grocery,
04/02/2023,1.70,GBP,Exotic,Food & Drinks,Grocery,
05/02/2023,10.00,GBP,Sweet ,Food & Drinks,Take aways,
05/02/2023,3.00,GBP,SPAR,Food & Drinks,Grocery,
06/02/2023,1200.00,GBP,Rent'Fab,Housing,Rent,
06/02/2023,2.40,GBP,SPAR,Food & Drinks,Grocery,
06/02/2023,8.00,GBP,Amazon,Other,Miscellaneous,
06/02/2023,9.00,GBP,EE,Utility,Phone Bill,
07/02/2023,4.60,GBP,SPAR,Food & Drinks,Grocery,
08/02/2023,17.00,GBP,Bus,Transportation,Transport_Local,
08/02/2023,3.10,GBP,Food at office,Food & Drinks,Take aways,
08/02/2023,5.80,GBP,SPAR,Food & Drinks,Grocery,
09/02/2023,17.00,GBP,SKY Digital,Utility,TV & Broadband,
10/02/2023,30.00,GBP,Travel card,Transportation,Transport_Railcard,
10/02/2023,24.00,GBP,Exotic,Food & Drinks,Grocery,
10/02/2023,11.00,GBP,Tariq Meat,Food & Drinks,Grocery,
10/02/2023,30.00,GBP,Tesco,Food & Drinks,Grocery,
10/02/2023,2.00,GBP,Bus,Transportation,Transport_Local,
10/02/2023,100.00,GBP,Madhu,Allowance,Allowance_Spouse,
11/02/2023,4.30,GBP,bus,Transportation,Transport_Local,
11/02/2023,42.20,GBP,Train,Entertainment,Entertainment_Travel,
11/02/2023,10.00,GBP,food at museum ,Food & Drinks,Take aways,
11/02/2023,12.00,GBP,gift,Other,Shopping,
11/02/2023,30.00,GBP,food at Camden Town,Food & Drinks,Eating out,
11/02/2023,2.00,GBP,SPAR,Food & Drinks,Grocery,
12/02/2023,22.00,GBP,Haircut,Personal care,Miscellaneous,
13/02/2023,2.00,GBP,SPAR,Housing,Household Product,
13/02/2023,8.00,GBP,SPAR,Other,Miscellaneous,
13/02/2023,7.58,GBP,SPAR,Food & Drinks,Grocery,
14/02/2023,22.00,GBP,SKY TV,Utility,TV & Broadband,
15/02/2023,26.50,GBP,TV licence ,Entertainment,Subscription,
15/02/2023,1.00,GBP,Food at office,Food & Drinks,Take aways,
15/02/2023,5.00,GBP,sainsbary,Other,Miscellaneous,
15/02/2023,4.17,GBP,SPAR,Food & Drinks,Grocery,
17/02/2023,21.30,GBP,amens Kitchen ,Food & Drinks,Take aways,
17/02/2023,9.00,GBP,Tariq Meat,Food & Drinks,Grocery,
17/02/2023,4.82,GBP,Tesco,Housing,Household Product,
17/02/2023,30.00,GBP,Tesco,Food & Drinks,Grocery,
17/02/2023,31.20,GBP,Exotic,Food & Drinks,Grocery,
18/02/2023,34.00,GBP,CrispyDosa,Food & Drinks,Eating out,
18/02/2023,6.50,GBP,bestfood,Food & Drinks,Grocery,
18/02/2023,4.21,GBP,SPAR,Food & Drinks,Grocery,
19/02/2023,7.60,GBP,opco,Other,Shopping,
20/02/2023,1.00,GBP,school,Other,Miscellaneous,
20/02/2023,16.00,GBP,m&s,Personal care,Clothing(Other),
20/02/2023,5.00,GBP,primark,Personal care,Clothing(Other),
20/02/2023,2.25,GBP,Greegs,Food & Drinks,Take aways,
20/02/2023,2.00,GBP,SPAR,Food & Drinks,Grocery,
21/02/2023,271.00,GBP,Currys pc,Other,Miscellaneous,
22/02/2023,11.00,GBP,Pharmacy ,Personal care,Miscellaneous,
22/02/2023,2.50,GBP,card,Other,Miscellaneous,
22/02/2023,12.50,GBP,SPAR,Food & Drinks,Grocery,
25/02/2023,42.00,GBP,bestfood,Food & Drinks,Grocery,
25/02/2023,20.00,GBP,reading fish,Food & Drinks,Grocery,
25/02/2023,18.00,GBP,iceland,Food & Drinks,Take aways,
25/02/2023,18.00,GBP,mobile accessories ,Other,Miscellaneous,
25/02/2023,17.00,GBP,sainsbary,Food & Drinks,Grocery,
25/02/2023,4.50,GBP,SPAR,Food & Drinks,Grocery,
27/02/2023,4.10,GBP,SPAR,Food & Drinks,Grocery,
27/02/2023,9.00,GBP,Amazon,Entertainment,Subscription,
28/02/2023,138.00,GBP,Bulb Energy ,Utility,Gas & Electricity,
28/02/2023,1.99,GBP,SPAR,Food & Drinks,Grocery,
28/02/2023,500.00,GBP,India A/C,Saving,Saving,
01/03/2023,152.00,GBP,Reading council,Housing,Council Tax,
01/03/2023,38.00,GBP,Thames Water,Utility,Water,
01/03/2023,9.00,GBP,SPAR,Food & Drinks,Grocery,
02/03/2023,4.00,GBP,Amazon,Other,Shopping,
02/03/2023,56.00,GBP,Chair amazon,Personal care,Miscellaneous,
02/03/2023,30.00,GBP,table amazon,Housing,Household Product,
03/03/2023,1.12,GBP,Amazon,Other,Shopping,
04/03/2023,17.00,GBP,Bus,Transportation,Transport_Local,
04/03/2023,7.75,GBP,wilko,Other,Shopping,
04/03/2023,19.50,GBP,primark,Personal care,Clothing(Other),
04/03/2023,4.00,GBP,sainsbary,Personal care,Miscellaneous,
04/03/2023,3.00,GBP,Amazon,Other,Shopping,
04/03/2023,149.00,GBP,mountain Goat,Vacation,Sightseeing,
04/03/2023,211.00,GBP,train,Vacation,Travel,
04/03/2023,448.00,GBP,service apartment,Vacation,Accommodation,
04/03/2023,34.34,GBP,Tesco,Food & Drinks,Grocery,
04/03/2023,12.73,GBP,Tariq Meat,Food & Drinks,Grocery,
04/03/2023,36.85,GBP,Exotic,Food & Drinks,Grocery,
04/03/2023,7.56,GBP,amens Kitchen ,Food & Drinks,Take aways,
